SITE,RING,CO2,BLOCK,SPECIES,YEAR,TRTYEAR,WOOD (gC/m2),LITTER-PROD (gC/m2),FR-PROD (gC/m2),NPP (gC/m2),,
ORNL,1,elev,1,SG,1999,2,620,220,179,1019,,
ORNL,2,elev,1,SG,1999,2,651,245,128,1024,,
ORNL,3,amb,1,SG,1999,2,546,194,79,818,,
ORNL,4,amb,1,SG,1999,2,611,214,208,1034,,
ORNL,5,amb,1,SG,1999,2,512,205,78,794,,
ORNL,1,elev,1,SG,2000,3,669,244,271,1184,,
ORNL,2,elev,1,SG,2000,3,743,242,105,1090,,
ORNL,3,amb,1,SG,2000,3,655,215,53,923,,
ORNL,4,amb,1,SG,2000,3,748,222,117,1087,,
ORNL,5,amb,1,SG,2000,3,585,218,102,905,,
ORNL,1,elev,1,SG,2001,4,629,233,536,1399,,
ORNL,2,elev,1,SG,2001,4,704,213,181,1098,,
ORNL,3,amb,1,SG,2001,4,603,223,58,883,,
ORNL,4,amb,1,SG,2001,4,747,202,149,1097,,
ORNL,5,amb,1,SG,2001,4,538,210,436,1184,,
ORNL,1,elev,1,SG,2002,5,589,232,526,1347,,
ORNL,2,elev,1,SG,2002,5,644,224,243,1112,,
ORNL,3,amb,1,SG,2002,5,568,211,41,820,,
ORNL,4,amb,1,SG,2002,5,658,222,136,1016,,
ORNL,5,amb,1,SG,2002,5,525,214,182,921,,
ORNL,1,elev,1,SG,2003,6,710,217,330,1257,,
ORNL,2,elev,1,SG,2003,6,799,228,256,1284,,
ORNL,3,amb,1,SG,2003,6,686,219,141,1046,,
ORNL,4,amb,1,SG,2003,6,797,234,91,1122,,
ORNL,5,amb,1,SG,2003,6,609,211,199,1020,,
DUKE,1,amb,A,PITA,1996,0,472.5,191.5,36.3,711.861,,
DUKE,2,elev,A,PITA,1996,0,462.6,199.2,33.8,703.936,,
DUKE,3,elev,B ,PITA,1996,0,498.8,216.0,60.5,754.996,,
DUKE,4,elev,C,PITA,1996,0,491.4,210.9,70.8,745.646,,
DUKE,5,amb,B,PITA,1996,0,490.7,208.0,15.7,739.633,,
DUKE,6,amb,C,PITA,1996,0,479.6,205.2,46.1,733.046,,
DUKE,1,amb,A,PITA,1997,1,434.8,180.1,34.8,661.261,,
DUKE,2,elev,A,PITA,1997,1,487.9,232.1,27.0,755.336,,
DUKE,3,elev,B ,PITA,1997,1,533.8,226.2,45.9,785.696,,
DUKE,4,elev,C,PITA,1997,1,484.2,240.3,41.8,738.846,,
DUKE,5,amb,B,PITA,1997,1,449.2,173.1,-3.8,643.733,,
DUKE,6,amb,C,PITA,1997,1,391.6,187.2,38.1,619.146,,
DUKE,1,amb,A,PITA,1998,2,331.7,238.6,34.8,616.661,,
DUKE,2,elev,A,PITA,1998,2,432.0,360.8,27.0,828.336,,
DUKE,3,elev,B ,PITA,1998,2,405.9,345.8,45.9,777.296,,
DUKE,4,elev,C,PITA,1998,2,368.7,333.9,41.8,716.946,,
DUKE,5,amb,B,PITA,1998,2,363.0,256.8,-3.8,641.233,,
DUKE,6,amb,C,PITA,1998,2,322.9,263.7,38.1,627.046,,
DUKE,1,amb,A,PITA,1999,3,400.9,237.1,31.7,681.161,,
DUKE,2,elev,A,PITA,1999,3,488.1,328.8,21.1,846.336,,
DUKE,3,elev,B ,PITA,1999,3,463.6,320.9,15.9,780.196,,
DUKE,4,elev,C,PITA,1999,3,476.1,275.8,67.8,792.146,,
DUKE,5,amb,B,PITA,1999,3,363.7,265.8,-0.2,654.433,,
DUKE,6,amb,C,PITA,1999,3,394.6,256.0,16.7,669.546,,
DUKE,1,amb,A,PITA,2000,4,445.0,229.8,24.3,710.661,,
DUKE,2,elev,A,PITA,2000,4,498.7,243.1,13.9,764.036,,
DUKE,3,elev,B ,PITA,2000,4,463.3,273.5,34.4,750.896,,
DUKE,4,elev,C,PITA,2000,4,525.7,257.1,40.6,795.946,,
DUKE,5,amb,B,PITA,2000,4,362.1,213.4,8.9,609.633,,
DUKE,6,amb,C,PITA,2000,4,413.4,214.0,27.1,656.646,,
DUKE,1,amb,A,PITA,2001,5,325.9,204.4,24.3,566.161,,
DUKE,2,elev,A,PITA,2001,5,421.6,257.8,13.9,701.636,,
DUKE,3,elev,B ,PITA,2001,5,379.5,321.4,34.4,714.996,,
DUKE,4,elev,C,PITA,2001,5,417.8,238.4,40.6,669.346,,
DUKE,5,amb,B,PITA,2001,5,327.0,191.9,8.9,552.933,,
DUKE,6,amb,C,PITA,2001,5,327.2,189.5,27.1,546.046,,
DUKE,1,amb,A,PITA,2002,6,211.7,239.0,24.3,486.661,,
DUKE,2,elev,A,PITA,2002,6,305.6,274.8,13.9,602.636,,
DUKE,3,elev,B ,PITA,2002,6,257.6,316.8,34.4,588.496,,
DUKE,4,elev,C,PITA,2002,6,256.5,244.9,40.6,514.546,,
DUKE,5,amb,B,PITA,2002,6,209.6,215.3,8.9,458.933,,
DUKE,6,amb,C,PITA,2002,6,198.4,197.1,27.1,424.746,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,